2025-02-21 18:21:26,521 - logger - INFO - Logger is setup
2025-02-21 18:23:32,504 - logger - INFO - Logger is setup
2025-02-21 18:23:33,507 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:23:33.5', 'value': 0.4, 'unit': 'Percent'}
2025-02-21 18:23:33,507 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:23:33.5', 'value': 4878.46875, 'unit': 'Seconds'}
2025-02-21 18:23:38,510 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:23:33.5', 'value': 0.4, 'unit': 'Percent'}
2025-02-21 18:23:38,510 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:23:33.5', 'value': 4878.46875, 'unit': 'Seconds'}
2025-02-21 18:23:44,512 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:23:44.5', 'value': 0.6, 'unit': 'Percent'}
2025-02-21 18:23:44,513 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:23:44.5', 'value': 4878.6875, 'unit': 'Seconds'}
2025-02-21 18:23:49,514 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:23:44.5', 'value': 0.6, 'unit': 'Percent'}
2025-02-21 18:23:49,514 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:23:44.5', 'value': 4878.6875, 'unit': 'Seconds'}
2025-02-21 18:23:55,515 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:23:55.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:23:55,516 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:23:55.5', 'value': 4879.6875, 'unit': 'Seconds'}
2025-02-21 18:24:00,517 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:23:55.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:24:00,517 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:23:55.5', 'value': 4879.6875, 'unit': 'Seconds'}
2025-02-21 18:24:06,519 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:24:06.5', 'value': 0.3, 'unit': 'Percent'}
2025-02-21 18:24:06,519 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:24:06.5', 'value': 4880.40625, 'unit': 'Seconds'}
2025-02-21 18:24:11,520 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:24:06.5', 'value': 0.3, 'unit': 'Percent'}
2025-02-21 18:24:11,520 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:24:06.5', 'value': 4880.40625, 'unit': 'Seconds'}
2025-02-21 18:24:17,521 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:24:17.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:24:17,522 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:24:17.5', 'value': 4880.46875, 'unit': 'Seconds'}
2025-02-21 18:24:22,522 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:24:17.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:24:22,523 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:24:17.5', 'value': 4880.46875, 'unit': 'Seconds'}
2025-02-21 18:24:28,524 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:24:28.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:24:28,524 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:24:28.5', 'value': 4880.609375, 'unit': 'Seconds'}
2025-02-21 18:24:33,525 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:24:28.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:24:33,525 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:24:28.5', 'value': 4880.609375, 'unit': 'Seconds'}
2025-02-21 18:24:39,526 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:24:39.5', 'value': 1.4, 'unit': 'Percent'}
